#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-8398.599457423612	-8389.392646901799	-9.206810521813106	-8389.392646901799	2.4493758557856564	-9.206810521813106	1.0	0.5
1000	-6133.787705529678	-6129.768881729402	-4.018823800275434	-6129.768881729402	1.0457811315055814	-4.018823800275434	0.36681169975715655	0.9505236314633363
2000	-6130.97529044128	-6128.246485126464	-2.7288053148158946	-6128.246485126464	1.0402811215274799	-2.7288053148158946	1.1402845111106497	0.5741639784433807
3000	-6134.260950681561	-6131.425519513501	-2.8354311680600146	-6131.425519513501	0.9063400368466087	-2.8354311680600146	2.0564115148091933	0.439462129139338
4000	-6136.808362244886	-6132.232718539292	-4.575643705593059	-6132.232718539292	0.9968917234233196	-4.575643705593059	2.9097429161918327	0.4178452941535039
5000	-6134.914872831755	-6132.312170933594	-2.6027018981609027	-6132.312170933594	1.0049374252852696	-2.6027018981609027	1.45542577567042	0.20337993060062495
6000	-6135.071351460705	-6132.652663438	-2.4186880227049805	-6132.652663438	0.958644888984721	-2.4186880227049805	1.0237144855242324	0.5105472262354279
7000	-6132.651096673984	-6130.4033943394015	-2.2477023345831038	-6130.4033943394015	0.9306545581563195	-2.2477023345831038	1.362740546536595	0.3495019159032627
8000	-6133.521875621355	-6128.638166317755	-4.883709303600036	-6128.638166317755	1.0100609169450083	-4.883709303600036	3.3146963894794887	0.3402377171944694
9000	-6132.109016822222	-6129.53579637428	-2.5732204479419094	-6129.53579637428	1.032579969088331	-2.5732204479419094	1.6204953723947675	0.2881342254853697
10000	-6133.204022203577	-6129.106711618983	-4.097310584593414	-6129.106711618983	1.1204950374266782	-4.097310584593414	1.337538671669911	0.7699609729432885
11000	-6132.613433896644	-6129.770533708872	-2.84290018777211	-6129.770533708872	1.0659677638636376	-2.84290018777211	1.558754778090175	0.47414218986075457
12000	-6137.797927300259	-6135.270966446383	-2.5269608538762625	-6135.270966446383	0.8587343927640277	-2.5269608538762625	2.2344758007306154	0.2607829839107412
13000	-6131.532678070955	-6129.065386627757	-2.4672914431972943	-6129.065386627757	0.9806440134235843	-2.4672914431972943	1.017648886470743	0.4410487069024775
14000	-6131.861210356654	-6129.558793427536	-2.302416929117379	-6129.558793427536	0.9027397108562384	-2.302416929117379	1.3171433874475187	0.12009087872834312
