Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5271.094532181	3.2	-5265.374805331196	-5.719726849804745	
1	-5264.528059996039	3.6	-5259.806081594638	-4.721978401400165	
2	-5264.528059996039	3.6	-5259.806081594638	-4.721978401400165	
3	-5264.528059996039	3.6	-5259.806081594638	-4.721978401400165	
4	-5264.528059996039	3.6	-5259.806081594638	-4.721978401400165	
5	-5262.383634955331	3.7	-5258.309949561143	-4.073685394187893	
6	-5261.837463480459	3.8	-5256.873388815079	-4.964074665379268	
7	-5261.890686882144	3.9	-5256.758336714334	-5.132350167809522	
8	-5260.288327366919	4.0	-5255.939889048891	-4.348438318027985	
9	-5259.3284376236825	4.1	-5254.610590984324	-4.717846639359295	
10	-5259.3284376236825	4.1	-5254.610590984324	-4.717846639359295	
11	-5261.861056194582	4.2	-5252.826510038311	-9.034546156270306	
