Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5308.5214941732565	5.0	-5302.353886158774	-6.1676080144823775	
1	-5305.948259886259	5.1	-5299.138660117213	-6.809599769046514	
2	-5305.948259886259	5.1	-5299.138660117213	-6.809599769046514	
3	-5305.948259886259	5.1	-5299.138660117213	-6.809599769046514	
4	-5305.948259886259	5.1	-5299.138660117213	-6.809599769046514	
5	-5304.632573861248	5.1	-5298.191440535812	-6.441133325435575	
6	-5304.632573861248	5.1	-5298.191440535812	-6.441133325435575	
