Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-12388.7499684474	-12384.862954619044	N	-12388.7499684474	3.887013828356194
1	-10753.967285244264	-10741.132020756651	2.0	-10753.967285244264	12.835264487612886
2	-10711.284696426506	-10698.586299365053	3.0	-10711.284696426506	12.698397061453338
3	-8411.064818185447	-8413.90281729943	4.0	-8411.064818185447	-2.8379991139836243
4	-7927.465458604938	-7935.459458010714	3.1	-7927.465458604938	-7.993999405776053
5	-7581.78483092581	-7593.740793174571	2.4	-7581.78483092581	-11.955962248761175
6	-7452.485466280843	-7459.768747582795	2.4	-7452.485466280843	-7.283281301952133
7	-7435.626188794324	-7438.990005549595	2.5	-7435.626188794324	-3.363816755270607
8	-7412.912060156048	-7421.235954125571	2.7	-7412.912060156048	-8.32389396952291
9	-7105.983880295262	-7113.452298023207	3.3	-7105.983880295262	-7.468417727945315
10	-7071.363443874428	-7078.055228448366	3.6	-7071.363443874428	-6.691784573936957
11	-6899.242921246151	-6904.099360965172	3.8	-6899.242921246151	-4.856439719021369
12	-6139.39884782024	-6140.79228565214	4.0	-6139.39884782024	-1.393437831899737
13	-6111.7801845563135	-6118.770304682193	3.9	-6111.7801845563135	-6.990120125879169
14	-5845.687143825697	-5849.947829793163	3.8	-5845.687143825697	-4.260685967465642
15	-5836.1356866605265	-5836.135203066551	3.7	-5836.1356866605265	4.8359397494190937E-4
16	-5644.376600594704	-5648.616672001195	3.5	-5644.376600594704	-4.2400714064917455
17	-5605.554319395095	-5608.630985367179	3.4	-5605.554319395095	-3.0766659720842564
18	-5604.660180410375	-5608.17964672524	3.3	-5604.660180410375	-3.5194663148653773
19	-5543.663506463734	-5548.445195845011	3.1	-5543.663506463734	-4.781689381276915
20	-5503.352828956977	-5507.861073007516	3.1	-5503.352828956977	-4.508244050538995
21	-5490.967276519035	-5493.197039605883	3.1	-5490.967276519035	-2.2297630868475222
22	-5426.361044848419	-5434.617286968409	3.0	-5426.361044848419	-8.256242119989952
23	-5388.373600909723	-5392.973882728704	3.0	-5388.373600909723	-4.600281818980562
24	-5384.7803984220645	-5388.9028169378425	3.0	-5384.7803984220645	-4.122418515777628
25	-5359.649154016047	-5365.11847765452	3.0	-5359.649154016047	-5.4693236384731385
26	-5357.861114205718	-5362.051836050735	3.1	-5357.861114205718	-4.190721845016716
27	-5357.055627726931	-5361.536190567827	3.1	-5357.055627726931	-4.480562840896318
28	-5357.025714888059	-5361.071441446823	3.2	-5357.025714888059	-4.045726558763487
29	-5354.37461933076	-5359.496914366467	2.7	-5354.37461933076	-5.122295035706681
30	-5352.421897856425	-5356.452362445347	2.7	-5352.421897856425	-4.030464588921924
31	-5350.67805925254	-5354.4176299574065	2.8	-5350.67805925254	-3.7395707048661286
32	-5350.426900414316	-5354.5564160170115	2.9	-5350.426900414316	-4.129515602695381
33	-5340.822003808795	-5347.335160404174	2.9	-5340.822003808795	-6.513156595378552
34	-5337.540231452829	-5341.9567169565535	3.0	-5337.540231452829	-4.416485503723997
35	-5337.104592321613	-5343.768998787324	3.0	-5337.104592321613	-6.664406465709949
36	-5335.058911418509	-5340.568750269812	3.1	-5335.058911418509	-5.5098388513037415
37	-5334.539510156235	-5338.992611955774	3.2	-5334.539510156235	-4.453101799538877
38	-5329.826431827075	-5334.37940740453	3.2	-5329.826431827075	-4.552975577455493
39	-5329.427989994851	-5333.699025070609	3.4	-5329.427989994851	-4.271035075758901
40	-5329.227781769326	-5333.245263253905	3.5	-5329.227781769326	-4.017481484579126
41	-5328.737687779663	-5333.623762143918	3.5	-5328.737687779663	-4.886074364254126
42	-5327.171179933769	-5331.378444542657	3.6	-5327.171179933769	-4.207264608888441
43	-5326.8874382119675	-5331.2427875880685	3.7	-5326.8874382119675	-4.35534937610131
44	-5326.6875843408825	-5331.527551816568	3.8	-5326.6875843408825	-4.839967475685818
45	-5326.364705644355	-5330.538075103521	3.8	-5326.364705644355	-4.173369459165834
46	-5325.840573903099	-5331.333809248483	3.9	-5325.840573903099	-5.493235345384515
47	-5325.791022779639	-5330.77767180285	4.0	-5325.791022779639	-4.986649023211023
48	-5325.607194158057	-5331.780991078685	4.0	-5325.607194158057	-6.173796920628099
49	-5325.265281587446	-5329.660390051324	4.3	-5325.265281587446	-4.395108463877542
50	-5324.695828935732	-5329.162922197337	4.4	-5324.695828935732	-4.467093261605363
51	-5324.462896401925	-5328.807173620511	4.4	-5324.462896401925	-4.3442772185860195
52	-5324.384535308745	-5329.005580285019	4.5	-5324.384535308745	-4.621044976274291
53	-5324.283784641239	-5331.2020880427945	4.6	-5324.283784641239	-6.918303401554885
54	-5324.276763913676	-5328.866570759786	4.7	-5324.276763913676	-4.589806846108806
55	-5324.138113250743	-5328.903103113556	4.8	-5324.138113250743	-4.764989862813427
56	-5323.988086389368	-5328.584878845732	4.9	-5323.988086389368	-4.596792456364415
57	-5323.902392976211	-5328.679065773367	4.9	-5323.902392976211	-4.776672797156233
58	-5323.815575502642	-5329.802571302592	5.0	-5323.815575502642	-5.986995799950261
59	-5323.785724953501	-5328.782860077469	5.4	-5323.785724953501	-4.997135123968478
60	-5323.747135543981	-5328.472783114665	5.5	-5323.747135543981	-4.725647570683138
61	-5323.718514439264	-5328.946801672017	5.6	-5323.718514439264	-5.228287232752432
62	-5323.688019366771	-5328.555018841858	5.7	-5323.688019366771	-4.86699947508723
63	-5323.673869596024	-5328.023445286715	5.7	-5323.673869596024	-4.349575690691401
64	-5323.665232771016	-5329.030624444968	5.8	-5323.665232771016	-5.3653916739526615
65	-5323.66270347725	-5327.999691131423	5.9	-5323.66270347725	-4.336987654172617
66	-5323.657469712056	-5328.847894690053	6.0	-5323.657469712056	-5.190424977997735
67	-5323.628877156609	-5328.001094165412	6.1	-5323.628877156609	-4.372217008802919
68	-5323.619216694586	-5328.090564639895	6.2	-5323.619216694586	-4.471347945309447
69	-5323.612708747026	-5328.711872782199	6.7	-5323.612708747026	-5.099164035172646
