"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6291.13515339171,7.42640215750666,1.7692570948932e-12,9.80286867087468
"2","GTR","relaxed_log_normal","yule",-6294.91984244514,6.08725748627491,4.01903116813456e-14,16.458229875143
"3","GTR","strict","birth_death",-6306.33519850075,7.8264958234548,4.43093348132559e-19,9.8422140326626
"4","GTR","strict","yule",-6290.16430547426,6.02106061283752,4.67116103086665e-12,11.2244585205024
"5","HKY","relaxed_log_normal","birth_death",-6268.85533393212,4.99180741743387,0.00839061115185465,6.54169919019604
"6","HKY","relaxed_log_normal","yule",-6276.44692081757,4.58405211915642,0.00000423456985657513,8.89448422274463
"7","HKY","strict","birth_death",-6266.81082680439,4.77709894890704,0.0648204077665792,4.8393087436568
"8","HKY","strict","yule",-6269.56979965925,5.07693637538633,0.00410681436209363,9.36500275238929
"9","JC69","relaxed_log_normal","birth_death",-6267.16970925379,4.23505806073103,0.0452742319289971,5.79063324755189
"10","JC69","relaxed_log_normal","yule",-6264.20577231539,3.36836102366436,0.877147335284932,6.07935062091304
"11","JC69","strict","birth_death",-6275.45590189585,4.42290986443729,0.0000114078381478657,5.50218703828412
"12","TN93","relaxed_log_normal","birth_death",-6276.28984882172,4.68859278268032,0.00000495478487007496,7.7316838285254
"13","TN93","relaxed_log_normal","yule",-6275.7393398093,4.52578673795845,0.00000859226828729319,8.42783507236966
"14","TN93","strict","birth_death",-6272.5458829997,4.51119227988377,0.000209415344071156,6.83844596042613
"15","TN93","strict","yule",-6274.79940133709,4.78225267970523,0.0000219946938301561,6.66529941079772
