#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa1.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa2.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin" kappa1="@kappa1.s:alignment_twin" kappa2="@kappa2.s:alignment_twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
15000	-5277.309610890343	-5272.318718534211	-4.990892356131114	-5272.318718534211	1.0558307350657152	1.0303185386691494	1.044291704685112	0.24511049059229753	0.24321607352421348	0.2549224452196843	0.25675099066380475	-2.0394871979481537	1.8011279957816746
16000	-5279.262972670682	-5273.0262115781425	-6.236761092539588	-5273.0262115781425	1.2070319990445875	1.0303185386691494	1.044291704685112	0.24511049059229753	0.24321607352421348	0.26021512216207415	0.2514583137214149	-3.2853559343566276	0.8916142143440615
17000	-5280.622748393831	-5274.735548813664	-5.887199580167158	-5274.735548813664	1.0031450981018262	1.0303185386691494	1.044291704685112	0.24511049059229753	0.24103956997693504	0.2691728507266735	0.244677088704094	-2.9357944219841974	3.4540034649929026
18000	-5280.498507931583	-5275.251410516036	-5.247097415546428	-5275.251410516036	0.9802132209031588	1.0303185386691494	1.044291704685112	0.24511049059229753	0.24103956997693504	0.2691728507266735	0.244677088704094	-2.2956922573634673	3.234604507902719
19000	-5280.422526212288	-5274.3671427060235	-6.055383506264279	-5274.3671427060235	1.3444582908023393	1.0303185386691494	1.1898309470662891	0.24511049059229753	0.24103956997693504	0.2691728507266735	0.244677088704094	-3.0479420247781692	1.8292004710498906
20000	-5278.109638337114	-5273.236417913551	-4.873220423563127	-5273.236417913551	1.0177713492997034	1.0303185386691494	1.1898309470662891	0.24703686862335478	0.2391131919458778	0.2691728507266735	0.244677088704094	-1.8657789420770166	2.2277868156772977
21000	-5280.170445286703	-5275.0864155338595	-5.08402975284394	-5275.0864155338595	1.040898242122453	1.0303185386691494	1.1898309470662891	0.24703686862335478	0.2504910509187958	0.25944456319031234	0.24302751726753716	-2.07658827135783	1.4409113354064487
22000	-5280.095497526388	-5274.775345343534	-5.3201521828528096	-5274.775345343534	1.099162099104995	1.28768338708674	1.2468517659364218	0.24703686862335478	0.2504910509187958	0.25944456319031234	0.24302751726753716	-2.189506623844187	1.5319708341827114
23000	-5282.420140606935	-5277.362534953245	-5.057605653690261	-5277.362534953245	0.9921334212454885	1.28768338708674	1.2468517659364218	0.24703686862335478	0.256092541682849	0.25384307242625914	0.24302751726753716	-1.9269600946816379	1.555920009115674
24000	-5283.479096108924	-5278.804405257388	-4.674690851535922	-5278.804405257388	0.9230229976057848	1.28768338708674	1.273219768724996	0.2427082117295716	0.256092541682849	0.25644810151974773	0.24475114506783174	-1.5334165022865331	1.9370324324980581
25000	-5284.666531278372	-5278.121894955542	-6.544636322829287	-5278.121894955542	1.3258137219399329	1.28768338708674	1.273219768724996	0.2427082117295716	0.256092541682849	0.25644810151974773	0.24475114506783174	-3.403361973579899	2.334775348099008
26000	-5283.869286279928	-5278.286899765469	-5.582386514459454	-5278.286899765469	1.045781411775343	1.28768338708674	1.273219768724996	0.2427082117295716	0.256092541682849	0.25644810151974773	0.24475114506783174	-2.4411121652100656	2.6669422291652873
27000	-5279.548565020344	-5274.114481347973	-5.434083672370495	-5274.114481347973	1.1556654092975702	1.1034635511066662	1.273219768724996	0.2427082117295716	0.256092541682849	0.25644810151974773	0.24475114506783174	-2.365745973135386	1.608734915032854
28000	-5282.856599435361	-5277.608513631728	-5.248085803633767	-5277.608513631728	1.0287579355265268	1.1034635511066662	1.1555861399659728	0.2479532725082692	0.256092541682849	0.2561226507605787	0.2398315350483032	-2.2266259954512395	1.2664122005802894
29000	-5280.005533989154	-5274.006126076848	-5.999407912305752	-5274.006126076848	1.1029466791217168	1.1034635511066662	1.1555861399659728	0.2479532725082692	0.256092541682849	0.2561226507605787	0.2398315350483032	-2.9779481041232234	3.0217392370727385
30000	-5282.242749010896	-5275.506597327432	-6.736151683463818	-5275.506597327432	1.126147223843821	1.1034635511066662	1.1555861399659728	0.2479532725082692	0.256092541682849	0.2561226507605787	0.2398315350483032	-3.7146918752812907	3.364337890483226
31000	-5279.973444322371	-5275.061586397921	-4.911857924449393	-5275.061586397921	0.9836433810762475	1.1034635511066662	1.1555861399659728	0.2479532725082692	0.256092541682849	0.2561226507605787	0.2398315350483032	-1.8903981162668644	2.5385325493231092
32000	-5283.851821389275	-5279.374417883424	-4.477403505850651	-5279.374417883424	0.9289337938050192	0.980806659546389	1.0747438976886927	0.2562502842840686	0.24779552990704962	0.2561226507605787	0.2398315350483032	-1.5324835808053554	2.2316830458752133
