Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5264.901935449431	7.4	-5259.515846589129	-5.38608886030251	
1	-5264.901935449431	7.4	-5259.515846589129	-5.38608886030251	
2	-5264.901935449431	7.4	-5259.515846589129	-5.38608886030251	
3	-5265.209895731763	7.6	-5258.6368790793595	-6.57301665240354	
4	-5264.920748592716	6.8	-5257.750302213214	-7.170446379501759	
5	-5262.24896328403	6.9	-5257.501806928385	-4.747156355644572	
6	-5261.917014843697	7.1	-5257.449264273444	-4.467750570252887	
7	-5260.339485576785	7.2	-5255.328678322241	-5.010807254543712	
