#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa1.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa2.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin" kappa1="@kappa1.s:alignment_twin" kappa2="@kappa2.s:alignment_twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.6" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-8471.617943667903	-8460.360975817921	-11.256967849981423	-8460.360975817921	3.014449149014416	2.0	2.0	0.25	0.25	0.25	0.25	0.1	1.000589076717171	0.008035235988096202	0.08765623965772344	-8.345611927153652	1.0	0.5
1000	-5299.754173703324	-5291.724305094011	-8.029868609313612	-5291.724305094011	1.569009494903325	2.0	2.0	0.25	0.25	0.25	0.25	0.5060467305928577	0.8043570245501875	0.21273606439336998	0.4457295037984455	-3.3087651518059813	1.1748759635276071	0.5461944752882458
2000	-5301.0721202434415	-5291.293058875009	-9.779061368432401	-5291.293058875009	1.1588497843934207	2.0	2.0	0.24238144715050847	0.25	0.25761855284949153	0.25	0.37649500474200137	0.8820844481636284	0.08852602592082179	0.33032668301182283	-5.533338797410948	2.5878281535706242	0.7588740801333149
3000	-5288.724426001775	-5283.618232693487	-5.106193308288611	-5283.618232693487	1.103530594171785	2.0	1.042865260332995	0.24427625353683718	0.25467638114624913	0.2557237464631628	0.24532361885375087	0.19884031303145605	1.0091560033083158	0.043016986662986374	0.21355021346993952	-2.007182074381106	1.1713406157481911	0.46071962938588856
4000	-5288.182752071918	-5281.402143356442	-6.780608715475701	-5281.402143356442	1.0971213800026463	2.0	1.042865260332995	0.24427625353683718	0.25610135184376825	0.2557237464631628	0.24389864815623172	0.3819658599782227	0.8572362804395701	0.14349703085762086	0.4376755824370724	-2.9015231531381165	1.4952349911400793	0.7344801760731291
5000	-5285.703528163566	-5282.678960647094	-3.0245675164725423	-5282.678960647094	0.9027669900699428	2.0	1.042865260332995	0.24427625353683718	0.25610135184376825	0.2557237464631628	0.24389864815623172	0.04558706549421212	1.0354862793438968	0.0025981166556176974	0.0506872706710904	-1.0049608899113576	1.1242999238461027	0.6259337786225526
6000	-5287.86238992518	-5282.905085475776	-4.957304449403722	-5282.905085475776	0.9408536733158327	2.0	1.253315845979529	0.24366066046354692	0.24832891128393775	0.2560073309777133	0.252003097274802	0.14852415359044122	1.0339357397603397	0.010534361278509251	0.10116070563157846	-2.042443064961736	1.3749637692701144	0.8839115406321876
7000	-5288.1318981136665	-5282.284137998398	-5.847760115268495	-5282.284137998398	1.341417678141054	2.0	1.253315845979529	0.24366066046354692	0.24832891128393775	0.2560073309777133	0.252003097274802	0.28116027543024796	0.7951664502326103	0.021011319510573244	0.161484827661804	-2.2917760117231105	0.6541541398721683	0.7440818497840705
8000	-5288.701377749145	-5283.807038161638	-4.894339587507079	-5283.807038161638	1.279320553425107	2.0	1.253315845979529	0.24366066046354692	0.25293530192421426	0.2560073309777133	0.24739670663452548	0.1220850965311348	1.0373266899625264	0.0161906478565517	0.11975366618040632	-2.1389603985596763	1.3998670104869182	0.6841539364747721
9000	-5287.423458467441	-5281.559628303574	-5.863830163867189	-5281.559628303574	1.3333963417966728	2.0	1.253315845979529	0.24366066046354692	0.25293530192421426	0.2560073309777133	0.24739670663452548	0.1684217778533676	0.9217576767371123	0.016153252663700726	0.1362603118529236	-2.8389838718149933	1.4992880809532205	0.2899137016489429
10000	-5282.51406081971	-5278.3472240066585	-4.166836813051155	-5278.3472240066585	0.9497603751146712	1.7311964064852947	1.253315845979529	0.24366066046354692	0.25293530192421426	0.2560073309777133	0.24739670663452548	0.14847130914040735	0.9971468757901533	0.010656667356692047	0.10740295495537053	-1.3616004710054033	1.422755383254546	0.638296041280818
11000	-5262.588127573324	-5257.337300767169	-5.250826806154433	-5257.337300767169	1.2489471507255243	0.9809789575454468	1.2040577470473426	0.2514488608281464	0.25293530192421426	0.24821913061311382	0.24739670663452548	0.14512438948860681	0.9062409518618704	0.018468832462378296	0.14296701464414402	-2.785316298599173	1.1691832756566554	0.8520320398613895
12000	-5261.472580414675	-5258.594793715285	-2.877786699389709	-5258.594793715285	0.8975274097539419	0.9809789575454468	1.2040577470473426	0.2514488608281464	0.25293530192421426	0.24821913061311382	0.24739670663452548	0.056752527892736424	1.0210211670731724	0.0032584806707909647	0.05752030105387792	-1.0759421515235652	1.6571581687912447	0.5513211344586499
13000	-5262.129047057627	-5258.407524015532	-3.7215230420955305	-5258.407524015532	1.1423413626955334	0.9809789575454468	1.2040577470473426	0.2514488608281464	0.25293530192421426	0.24821913061311382	0.24739670663452548	0.03309176874398268	0.9927397920699178	0.0010853198065130705	0.03308420354964091	-2.2299808275260804	1.2805486536111559	0.1995110451809407
14000	-5261.593390801687	-5259.951163347492	-1.6422274541944915	-5259.951163347492	1.1870881200160477	0.9982290454764656	1.2040577470473426	0.2514488608281464	0.25293530192421426	0.24821913061311382	0.24739670663452548	4.5498476683419984E-4	0.9998732403901465	1.878116631743336E-7	4.333795751226888E-4	-2.203617432382131	0.8603037646347946	0.45744654608496765
